Symbol,FiscalDateEnding,TotalRevenue,GrossProfit,NetIncome,OperatingIncome,OperatingMargin,TotalAssets,TotalLiabilities,CommonStockSharesOutstanding,TotalShareholderEquity,BVPS,Debt_to_Equity,Date
SHOP,2019-06-30,361.979,204.765,-28.678,-39.62,-10.94538633456637,2467.298,306.114,1120.134,2161.184,1.93,0.14,2025-12-30
SHOP,2019-03-31,320.482,180.291,-24.151,-35.79,-11.16755387198033,2402.751,274.833,1109.213,2127.918,1.92,0.13,2025-12-30
SHOP,2018-12-31,343.862,185.743,-1.514,-9.458,-2.750522011737267,2254.785,164.017,1077.345,2090.768,1.94,0.08,2025-12-30
SHOP,2018-09-30,270.064,149.727,-23.184,-31.368,-11.61502458676462,1841.694,169.616,1066.472,1672.078,1.57,0.1,2025-12-30
SHOP,2018-06-30,244.963,136.955,-23.953,-30.761,-12.55740662875618,1809.057,152.856,1059.781,1656.201,1.56,0.09,2025-12-30
SHOP,2018-03-31,214.34,123.842,-15.902,-20.333,-9.486330129700477,1782.536,1782.536,1022.566,1649.889,1.61,1.08,2025-12-30
SHOP,2017-12-31,222.814,121.145,-2.987,-6.113,-2.7435439424811725,1113.564,112.464,995.518,1001.1,1.01,0.11,2025-12-30
SHOP,2017-09-30,171.456,100.027,-9.38,-12.676,-7.393150429264652,1101.408,113.486,987.78,987.922,1.0,0.11,2025-12-30
SHOP,2017-06-30,151.655,86.84,-14.03,-15.907,-10.488938709571066,1077.233,99.789,942.905,977.444,1.04,0.1,2025-12-30
SHOP,2017-03-31,127.379,72.241,-13.598,-14.461,-11.352734752196202,501.338,90.474,902.429,410.864,0.46,0.22,2025-12-30
SHOP,2016-12-31,130.383,68.135,-8.867,-9.305,-7.1366665899695505,490.558,80.082,891.372,410.476,0.46,0.2,2025-12-30
SHOP,2016-09-30,99.578,52.455,-9.12,-9.489,-9.529213280041777,486.343,74.821,849.128,411.522,0.48,0.18,2025-12-30
SHOP,2016-06-30,86.647,46.166,-8.439,-8.659,-9.993421584128706,251.109,62.358,813.492,188.751,0.23,0.33,2025-12-30
SHOP,2016-03-31,72.722,39.271,-8.929,-9.712,-13.35496823519705,245.274,54.297,804.885,190.977,0.24,0.28,2025-12-30
SHOP,2015-12-31,70.173,35.51,-6.307,-6.519,-9.289897823949381,243.712,48.395,779.966,195.317,0.25,0.25,2025-12-30
SHOP,2015-09-30,52.786,28.743,-4.657,-4.3,-8.146099344523169,235.639,38.333,759.018,197.306,0.26,0.19,2025-12-30
SHOP,2015-06-30,44.926,25.252,-3.296,-3.461,-7.703779548591017,236.88,37.329,530.405,199.551,0.38,0.19,2025-12-30
SHOP,2015-03-31,37.348,21.566,-4.53,-3.476,-9.307057941522972,97.326,32.571,667.374,64.755,0.1,0.5,2025-12-30
SHOP,2014-12-31,35.182,19.613,-4.798,-4.495,-12.776419760104599,95.193,27.461,666.2065,67.732,0.1,0.41,2025-12-30
SHOP,2014-09-30,27.346,16.239,-4.268,-4.109,-15.025963577854165,,,666.2065,,,,2025-12-30
SHOP,2014-06-30,23.68,14.315,-6.88,-7.039,-29.725506756756758,,,666.2065,,,,2025-12-30
SHOP,2014-03-31,18.81,11.628,-6.365,-5.972,-31.74906964380649,,,665.039,85.381,0.13,,2025-12-30
SNOW,2025-10-31,1212.909,822.036,-293.957,-329.473,-27.163868023075104,8230.191,6097.258,335.875,2132.933,6.35,2.86,2025-12-30
SNOW,2025-07-31,1144.969,773.154,-298.017,-340.276,-29.719232573108968,8196.727,5817.138,333.957,2372.648,7.1,2.45,2025-12-30
SNOW,2025-04-30,1042.074,693.288,-430.092,-447.257,-42.919888606759216,8157.407,5742.553,332.657,2408.0,7.24,2.38,2025-12-30
SNOW,2025-01-31,986.77,653.586,-327.474,-386.678,-39.18623387415507,9033.938,6027.295,331.432,2999.929,9.05,2.01,2025-12-30
SNOW,2024-10-31,942.094,621.2,-324.279,-365.457,-38.79198890981155,8202.258,5267.849,331.761,2929.445,8.83,1.8,2025-12-30
SNOW,2024-07-31,868.823,580.745,-316.899,-355.303,-40.89475071447234,6943.886,2806.298,334.071,4129.001,12.36,0.68,2025-12-30
SNOW,2024-04-30,828.709,556.192,-316.988,-348.572,-42.06205073192158,7298.018,2730.326,333.584,4558.234,13.66,0.6,2025-12-30
SNOW,2024-01-31,774.699,532.895,-169.352,-275.505,-35.56284440795716,8223.383,3032.789,331.079,5180.308,15.65,0.59,2025-12-30
SNOW,2023-10-31,734.173,505.225,-214.251,-260.623,-35.498853812384816,7264.379,2323.612,329.31,4929.921,14.97,0.47,2025-12-30
SNOW,2023-07-31,674.018,455.626,-226.867,-285.407,-42.34412137361317,7509.816,2211.589,327.335,5286.938,16.15,0.42,2025-12-30
SNOW,2023-04-30,623.599,414.185,-225.627,-273.238,-43.81629861497533,7446.774,2148.789,324.157,5286.243,16.31,0.41,2025-12-30
SNOW,2023-01-31,589.012,383.355,-207.169,-239.75,-40.70375476221197,7722.322,2253.707,321.924,5456.436,16.95,0.41,2025-12-30
SNOW,2022-10-31,557.028,366.307,-200.936,-206.019,-36.9853939119757,7155.688,1732.417,320.135,5410.777,16.9,0.32,2025-12-30
SNOW,2022-07-31,497.248,324.016,-222.806,-207.732,-41.77633695862025,7064.115,1637.792,318.356,5426.323,17.04,0.3,2025-12-30
